Name	Fraction	Experiment
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac3	3	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac4	4	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac5	5	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac6	6	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac7	7	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA3-frac8_160809122709	8	SepA3
20160802_QEp2_SoDo_SA_LC12-13_SepA4_160809152818	100	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac1	1	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac2	2	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac3	3	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac3bis	4	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac4	5	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac5	6	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac7	7	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA4-frac8	8	SepA4
20160802_QEp2_SoDo_SA_LC12-13_SepA8	100	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac1	1	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac2	2	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac3	3	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac4	4	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac5	5	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac6	6	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac7	7	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepA8-frac8	8	SepA8
20160802_QEp2_SoDo_SA_LC12-13_SepV3	100	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac1	1	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac2	2	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac3	3	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac4	4	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac5	5	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac6	6	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac7	7	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV3-frac8	8	SepV3
20160802_QEp2_SoDo_SA_LC12-13_SepV4	100	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac1	1	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac2	2	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac3	3	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac4	4	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac5	5	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac6	6	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac7	7	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV4-frac8	8	SepV4
20160802_QEp2_SoDo_SA_LC12-13_SepV8	100	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac1	1	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac2	2	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac3	3	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac4	4	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac5	5	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac6	6	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac7	7	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SepV8-frac8	8	SepV8
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells	100	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac1_160913114949	1	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac2	2	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac3	3	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac4	4	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac5	5	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac6	6	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac7	7	Smooth
20160802_QEp2_SoDo_SA_LC12-13_SmoothP1acells-frac8	8	Smooth
20160802_QEp2_SoDo_SA_LC12-13_TV3	100	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac1	1	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac2	2	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac3	3	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac4	4	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac5	5	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac6	6	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac7	7	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV3-frac8	8	TV3
20160802_QEp2_SoDo_SA_LC12-13_TV4	100	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac1	1	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac2	2	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac3	3	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac4	4	TV4frac4bis
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac4_160829095241	4	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac5	5	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac6	6	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac7	7	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV4-frac8	8	TV4
20160802_QEp2_SoDo_SA_LC12-13_TV8	100	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac1	1	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac2	2	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac3	3	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac4	4	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac5	5	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac6	6	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac7	7	TV8
20160802_QEp2_SoDo_SA_LC12-13_TV8-frac8	8	TV8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3	100	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac1	1	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac2	2	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac3	3	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac4	4	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac5	5	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac6	6	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac7	7	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf3-frac8	8	VcavaInf3
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4	100	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac1	1	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac2	2	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac3	3	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac4	4	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac5	5	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac6	6	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac7	7	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf4-frac8	8	VcavaInf4
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8	100	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac2	2	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac3	3	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac4	4	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac5	5	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac6	6	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac7	7	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_Vcavainf8-frac8	8	VcavaInf8
20160804_QEp2_SoDo_SA_LC12-13_RV8-frac1	1	RV8
20160804_QEp2_SoDo_SA_LC12-13_RV8-frac6	6	RV8
20160804_QEp2_SoDo_SA_LC12-13_RV8new1ug	100	RV8
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac1	1	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac2	2	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac3	3	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac4	4	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac5	5	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac6	6	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac7	7	AFcells
20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac8	8	AFcells
20160901_QEp2_SoDo_SA_LC12-13_CD31EC4000cells	100	EC-4000cells
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells	100	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac1	1	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac2	2	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac3	3	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac4	4	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac5	5	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac6	6	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac7	7	CD31
20160901_QEp2_SoDo_SA_LC12-13_CD31ECcells-frac8	8	CD31
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac1	1	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac2	2	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac3	3	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac4	4	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac5new	5	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac6	6	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac7	7	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV3-frac8	8	PV3
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac1	1	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac2	2	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac3	3	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac4	4	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac5	5	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac6	6	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac7	7	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV4-frac8	8	PV4
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac1	1	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac2	2	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac3	3	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac4	4	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac5	5	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac6	6	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac7	7	PV8
20160901_QEp2_SoDo_SA_LC12-13_PV8-frac8_160906090046	8	PV8
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac3_160922042621	3	PVe4
20160802_QEp2_SoDo_SA_LC12-13_PVe4-frac5_160922063551	5	PVe4
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac1	1	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac2	2	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac3	3	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac4	4	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac5	5	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac6	6	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac7	7	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV8--frac8	8	AV8
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac2	2	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac3	3	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac4	4	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac5	5	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac6	6	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac7	7	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac8	8	AV4
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac1	1	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac2	2	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac3	3	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac4	4	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac5	5	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac6	6	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac7	7	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV3--frac8	8	AV3
20160802_QEp2_SoDo_SA_LC12-13_AV4--frac1	1	AV4
20160802_QEp2_SoDo_SA_LC12-13_PA4--frac7	7	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4--frac8	8	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4--frac1	1	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac2	2	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac2misslabeled	2	PA4-frac2test
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac3	3	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac3injmore	3	PA4-frac3test
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac3misslabeled	3	PA4-frac3test
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac4	4	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac5	5	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA4-frac6	6	PA4
20160802_QEp2_SoDo_SA_LC12-13_PA8--frac4	4	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8--frac5	5	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8--frac6	6	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8--frac7	7	PA8
20160802_QEp2_SoDo_SA_LC12-13_PA8--frac8	8	PA8
20160721_QEp2_SoDo_SA_LC12-13_RA3--frac7	7	RA3
20160802_QEp2_SoDo_SA_LC12-13_VCavaInf8-frac1_161014045453	1	VcavaInf8
20160802_QEp2_SoDo_SA_LC12-13_PA8_161014024743	100	PA8
20170227_QEp2_SoDo_SA_LC12_EC	100	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac1	1	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac2	2	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac3	3	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac4	4	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac5	5	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac6	6	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac7	7	ECp0
20170227_QEp2_SoDo_SA_LC12_ECfrac8	8	ECp0
