Name	Fraction	Experiment
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-2	100	Ra-Test100Min450-74Max-2match
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-1	100	Ra-Test100Min450-74Maxaddgradient-1match
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-2	100	Ra-Test100Min450-74Maxaddgradient-2match
20160425_QEp4_SoDo_SA_LC12_SA	100	Samatch
20160425_QEp4_SoDo_SA_LC12_Tri_160504005348	100	Trimatch1
20160502_QEp4_SoDo_SA_LC12_AV	100	Avmatch
20160502_QEp4_SoDo_SA_LC12_PulAr	100	Pularmatch
20160502_QEp4_SoDo_SA_LC12_PulKl	100	Pulklmatch
20160502_QEp4_SoDo_SA_LC12_RA1bisfirstexp	100	Ra1Bisfirstexpmatch
20160502_QEp4_SoDo_SA_LC12_RA2firstexp	100	Ra2Firstexpmatch
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction1	1	Raa2578-8Fraction1match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction2	2	Raa2578-8Fraction2match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction3	3	Raa2578-8Fraction3match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction4	4	Raa2578-8Fraction4match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction5	5	Raa2578-8Fraction5match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction6	6	Raa2578-8Fraction6match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction7	7	Raa2578-8Fraction7match
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction8	8	Raa2578-8Fraction8match
20160502_QEp4_SoDo_SA_LC12_RAsingle	100	Rasinglematch
20160502_QEp4_SoDo_SA_LC12_RAurea	100	Raureamatch
20160502_QEp4_SoDo_SA_LC12_RAurea1_160504154329	100	RAureamatch
20160502_QEp4_SoDo_SA_LC12_RAurea2	100	Raurea2match
20160502_QEp4_SoDo_SA_LC12_RAurea3	100	Raurea3match
20160502_QEp4_SoDo_SA_LC12_SA	100	Samatch
20160502_QEp4_SoDo_SA_LC12_Tri	100	Trimatch
20160511_QEp3_SoDo_SA_Easy12_7_A17T1_SAbis	100	Sabismatch
20160511_QEp3_SoDo_SA_Easy12_7_AVbis	100	Avbismatch
20160511_QEp3_SoDo_SA_Easy12_7_PulAbis2	100	Pulabis2match
20160511_QEp3_SoDo_SA_Easy12_7_PulKbis	100	Pulkbismatch
20160511_QEp3_SoDo_SA_Easy12_7_Tri	100	Trimatch
20160721_QEp2_SoDo_SA_LC12-13_LA3	100	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac1	1	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac2	2	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac3	3	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac4	4	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac5	5	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac6	6	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac7	7	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA3-frac8	8	LA3
20160721_QEp2_SoDo_SA_LC12-13_LA4	100	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac1	1	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac2	2	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac3	3	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac4	4	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac5	5	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac6	6	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac7	7	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA4-frac8	8	LA4
20160721_QEp2_SoDo_SA_LC12-13_LA8	100	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac1	1	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac2	2	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac3	3	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac4	4	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac5	5	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac6	6	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac7	7	LA8
20160721_QEp2_SoDo_SA_LC12-13_LA8-frac8	8	LA8
20160721_QEp2_SoDo_SA_LC12-13_LV3	100	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac1	1	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac2	2	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac3	3	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac4	4	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac5	5	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac6	6	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac7	7	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV3-frac8	8	LV3
20160721_QEp2_SoDo_SA_LC12-13_LV4	100	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac1	1	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac2	2	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac3	3	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac4	4	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac5	5	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac6	6	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac7	7	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV4-frac8	8	LV4
20160721_QEp2_SoDo_SA_LC12-13_LV8	100	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac1	1	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac2	2	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac3	3	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac4	4	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac5	5	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac6	6	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac7	7	LV8
20160721_QEp2_SoDo_SA_LC12-13_LV8-frac8	8	LV8
20160721_QEp2_SoDo_SA_LC12-13_RA3_160724194752	100	RA3match
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac1	1	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac2	2	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac3	3	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac4	4	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac5	5	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac6_160724095858	6	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3-frac8_160724173754	8	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1	100	RA3
20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1_160722112907	100	RA3match2
20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_20%1_160722090952	100	RA3match1
20160721_QEp2_SoDo_SA_LC12-13_RA4	100	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-1%gradient	100	RA4test
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac1	1	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac2	2	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac3	3	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac4	4	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac5	5	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac6	6	RA4
20160721_QEp2_SoDo_SA_LC12-13_RA4-frac7	7	RA4
